"class_name","class_type","weekday"
Public Economics,Vorlesung/Übung,"Freitag, Montag"
Rekonstruktionsmethoden,Seminar,Dienstag
Research Practice,Übung,Mittwoch
RNA Biologie,Vorlesung,Dienstag
RNA Molekularbiologie,Oberseminar,Mittwoch
Rückschlagspiele,Integrierter Theorie- und Praxiskurs,"Montag, Dienstag, Montag, Donnerstag"
Russisch: Phonetik,Übung,"Montag, Montag"
Samene - et urfolk i Norden,Übung,Donnerstag
Sanskrit II,Übung,Montag
Schreiblabor,Übung,"Donnerstag, Donnerstag, Donnerstag, Donnerstag"
Schriftlicher Ausdruck (A2),Übung,"Mittwoch, Mittwoch"
Schriftlicher Ausdruck B1,Übung,Dienstag
Schwedisch 2,Sprachkurs,"Donnerstag, Dienstag, Donnerstag, Mittwoch"
Scientific Writing,Masterseminar,Donnerstag
Semantics,Seminar,Donnerstag
Semantik,Grundkurs,"Donnerstag, Donnerstag, Montag, Montag"
Semantik,Seminar,"Freitag, Freitag"
Seminar Inequalities,Seminar,Freitag
Seminar Stochastik,Seminar,Freitag
Seminar zur Algebra,Seminar,Dienstag
Sentimental Fiction,Seminar,"Freitag, Freitag"
"Sex, Race and Taxes",Seminar,Dienstag
"Sex, Race and Taxes (ÜWP)",Seminar,Dienstag
Shakespeares Tragedies,Seminar,"Mittwoch, Mittwoch"
Simulation Peer Review,Projektseminar,Donnerstag
Slavery on Screen,Seminar,Mittwoch
Social Hydrology,Seminar/Hauptseminar,Dienstag
Sociolinguistics,Seminar,Montag
Sociolinguistics,Übung,Montag
Soziolinguistische Methoden,Seminar,Donnerstag
Sport und Leistung,Übung,Montag
Sprachliche Kreativität,Seminar,Dienstag
Sprachliche Kreativität,Vertiefungskurse,Dienstag
Statistical Inference II,Vorlesung/Übung,Dienstag
Statistik,Hauptseminar,"Mittwoch, Mittwoch"
Statistik,Praxisorientierte Lehrveranstaltung,"Montag, Montag"
Statistik I,Übung,"Mittwoch, Dienstag, Donnerstag, Dienstag, Dienstag, Freitag, Montag, Freitag"
Statistik II,Vorlesung,Montag
Stochastik I,Übung,"Montag, Montag, Mittwoch"
Stochastik I,Vorlesung,"Montag, Donnerstag"
Struktur von Proteinen,Vorlesung,"keine Angabe, keine Angabe"
Swahili II,Sprachkurs,Montag
Swahili IV,Sprachkurs,Montag
Syntax,Seminar,Donnerstag
Syntax,Vorlesung,Dienstag
Tekstproduksjon,Übung,Dienstag
Tekstproduktion,Übung,Mittwoch
Tekstreception,Übung,Freitag
Tekstresepsjon,Übung,Freitag
Textlektüre A2/B1,Übung,Dienstag
Thatchers Britain on Film,Seminar,Dienstag
The London Flaneur,Seminar,"Donnerstag, Donnerstag"
Think & Drink Colloquium,Kolloquium,Montag
Topologie I,Übung,Dienstag
Topologie I,Vorlesung,"Dienstag, Donnerstag"
Traduction comparée,Übung,Dienstag
Traduction: Titel folgt,Übung,Freitag
Traduzione dal Tedesco,Übung,Dienstag
Tutorium,Tutorium,"Mittwoch, Freitag"
"Tutorium ""Das Wort""",Tutorium,"Montag, Freitag"
"Tutorium ""Der Satz""",Tutorium,"Donnerstag, Mittwoch"
Tutorium Syntax,Tutorium,Donnerstag
Tutorium zum GK Linguistik,Tutorium,Dienstag
Tutorium zum GK Semantik,Tutorium,Montag
Übersetzen Finnisch,Übung,Dienstag
Übungen Humanbiologie,Übung,Freitag
Urban Theory,Seminar,Donnerstag
Urban Theory (ÜWP),Seminar,Donnerstag
Urdu II,Sprachkurs,"Freitag, Mittwoch"
ÜWP Große Spiele (Handball),Vorlesung,Dienstag
ÜWP Leistungssportmedizin,Seminar,Dienstag
Vorbereitung SPR,Seminar,"Donnerstag, Mittwoch, Montag, Donnerstag"
Vorbereitung SPR (GS),Seminar,"Donnerstag, Mittwoch"
Wirtschaftsgeographie,Seminar/Proseminar,"Dienstag, Dienstag, Montag, Montag, Dienstag, Dienstag, Dienstag, Dienstag, Dienstag, Dienstag"
Wissenschaftliches Arbeiten,Vorlesung/Grundkurs,Dienstag
Writing the Term Paper,Übung,Dienstag
Zahlentheorie,Übung,Montag
Zahlentheorie,Vorlesung,"Montag, Mittwoch"
