"veranstid","verart","verartid","aikz","veranstnr","veranstnrint","ktxt","dtxt","ltxt","sws","semester","erwartteilnehmer","teilnehmermax","druck_vvz","zeitstempel","lehrmethoden","voraussetzung","verweise","pruefungsstoff","credits","kommentar","bemerkung","literatur","hyperlink","uebernrhythm","veranststatusid","pruefmoegl","freigabe","publish","belegpflicht","geschl","unterrsprache","praesenzzeit","art_praesenzzeit","ssz","studienjahr","kosten","externperson","externinst","evalartid","externid","fachuebergreifend_kz","curricular_kz","sichtbar","verformatid"
194443,,113,A,"530192              ",,,Aktuelle Literatur im Bereich Theorie der Politik (ÜWP),,2.0,20221,,,J,2022-02-16 10:50:42.823,,,,,,,,,,0,4,,,,J,,1,,,,,,,,,,,,,1
194446,,113,A,"530174              ",,,Judiciary and Democratic Erosion (ÜWP),,2.0,20221,,,J,2022-02-16 10:32:21.102,,,,,,,,,,0,4,,N,,J,,2,,,,,,,,,,,,,1
194447,,113,A,"530176              ",,,Democracy and the People (ÜWP),,2.0,20221,,,J,2022-02-18 12:57:40.806,,,,,,,,,,0,4,,N,,J,,2,,,,,,,,,,,,,1
194338,,236,A,"5220006Ü            ",,,Überblick über die Sprachgeschichte des Deutschen,,2.0,20221,,,J,2022-02-20 20:06:56.690,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,2
194451,,429,A,"21811704            ",,,Schizophrenie und digitale Kommunikation,,2.0,20221,,,J,2022-02-14 10:45:40.366,,,,,,,,,,0,4,,J,,J,,1,,,,,,,,,,,,J,2
194452,,384,A,"5250201             ",,,Institutsaustausch,,2.0,20221,,,J,2022-02-14 10:51:51.496,,,,,,,,,,1,4,,N,,N,,1,,,,,,,,,,,,J,4
194339,,236,A,"5220031Ü            ",,,Einführung in die Variationslinguistik,,2.0,20221,,,J,2022-02-04 11:07:30.635,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194454,,330,A,"53863               ",,,Tutorium I: Lektürekurs Gender Studies,,2.0,20221,,,J,2022-02-14 13:46:44.580,,,,,,,,,,2,4,,N,,J,,1,,,,,,,,,,,,J,1
194456,,363,A,"3314511             ",,,Klasse 8g,,2.0,20221,,,J,2022-02-14 13:55:47.608,,,,,,,,,,1,4,,N,,N,,1,,,,,,,,,,,,J,1
194457,,330,A,"53862               ",,,Tutorium II: Lektürekurs Gender Studies,,2.0,20221,,,J,2022-02-14 14:07:54.750,,,,,,,,,,1,4,,N,,J,,1,,,,,,,,,,,,J,1
194458,,330,A,"53861               ",,,Tutorium III: Wie schreibe ich eine wissenschaftliche Arbeit?,,2.0,20221,,,J,2022-02-14 14:14:49.110,,,,,,,,,,2,4,,N,,J,,1,,,,,,,,,,,,J,1
194459,,330,A,"53980               ",,,Transdisziplinär studieren in den Gender Studies,,2.0,20221,,,J,2022-02-14 14:21:56.420,,,,,,,,,,2,4,,N,,J,,1,,,,,,,,,,,,J,1
194461,,357,A,"5250202             ",,,Student Conference,,2.0,20221,,,J,2022-02-14 15:27:32.840,,,,,,,,,,1,4,,N,,N,,1,,,,,,,,,,,,J,4
194464,,353,A,"3314515             ",,,Repetitorium - Schulstoff,,12.0,20221,,,J,2022-02-15 11:03:36.756,,,,,,,,,,,4,,N,,J,,1,,,,,,,,,,,,J,1
194467,,332,A,"53520               ",,,gnuHU/ FLOSS-Werkstatt,,2.0,20221,,,J,2022-02-21 17:47:41.860,,,,,,,,,,,4,,J,,J,,1,,,,,,,,,,,,J,1
194468,,407,A,,,,"Vorlesung Höltgen, falls Präsenz",,2.0,20221,,,N,2022-02-15 13:10:52.314,,,,,,,,,,,5,,J,,N,,1,,,,,,,,,,,,J,1
194469,,236,A,"331120220091        ",,,Fachdidaktik und Lehr-/Lernforschung Chemie  (FLC) Grundschule,,2.0,20221,,,J,2022-02-15 16:14:40.719,,,,,,,,,,0,4,,J,,J,,1,,,,,,,,,,,,J,3
194470,,113,A,"331120220091        ",,,Fachdidaktik und Lehr-/Lernforschung Chemie  (FLC) Grundschule,,2.0,20221,,,J,2022-02-15 16:14:43.215,,,,,,,,,,0,4,,J,,J,,1,,,,,,,,,,,,J,3
189587,,335,A,"10414               ",,,Prüfungssimulation Strafrecht,,0.125,20221,,,J,2022-02-15 17:45:51.280,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110454,2,4,,N,,N,,1,,,,,,,,,,,,,1
189608,,336,A,"10439               ",,,Klausur im Strafrecht 4,,0.5,20221,,,J,2022-02-15 17:46:21.634,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110450,2,4,,N,,N,,1,,,,,,,,,,,,,1
189609,,336,A,"10440               ",,,Klausur im Zivilrecht 9,,0.5,20221,,,J,2022-02-15 17:46:21.642,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110450,2,4,,N,,N,,1,,,,,,,,,,,,,1
189613,,336,A,"10441               ",,,Klausur im Öffentlichen Recht 9,,0.5,20221,,,J,2022-02-15 17:46:21.648,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110450,2,4,,N,,N,,1,,,,,,,,,,,,,1
189614,,336,A,"10442               ",,,Klausur im Zivilrecht 10,,0.5,20221,,,J,2022-02-15 17:46:21.655,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110450,2,4,,N,,N,,1,,,,,,,,,,,,,1
189615,,336,A,"10443               ",,,Klausur im Öffentlichen Recht 10,,0.5,20221,,,J,2022-02-15 17:46:21.661,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110450,2,4,,N,,N,,1,,,,,,,,,,,,,1
189610,,336,A,"10444               ",,,Klausur im Strafrecht 5,,0.5,20221,,,J,2022-02-15 17:46:21.668,,,,,,,,,https://moodle.hu-berlin.de/course/view.php?id=110450,2,4,,N,,N,,1,,,,,,,,,,,,,1
194442,,113,A,"530187              ",,,Policing and Social Structure (ÜWP),,2.0,20221,,,J,2022-02-16 10:12:53.516,,,,,,,,,,0,4,,N,,J,,2,,,,,,,,,,,,,1
194424,,113,A,"530175              ",,,Digitaler Aktivismus und Vernetzung (ÜWP),,2.0,20221,,,J,2022-02-16 10:57:47.323,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
194445,,113,A,"530221              ",,,"Die unendliche Geschichte Ostdeutschlands - Differenz, Identität und Othering der neuen Bundesländer #BIM (ÜWP)",,2.0,20221,,,J,2022-02-16 10:20:58.327,,,,,,,,,,0,4,,N,,J,,1,,,,,,,,,,,,,1
