"texteid","txt","zeitstempel"
19073,Excursion to Jordan,2017-11-02 14:10:08.831
644,recent case law of the ECJ in private an business law,2008-08-18 15:33:26.606
645,Sales Law,2008-08-18 15:56:09.264
646,Environmental Law II,2008-08-28 09:44:55.367
19648,"Basic Bible Knowledge (Hebrew Bible) (GS H 090[SO 2011]/091[SO 2017], BA[B1a/b]AT)",2018-01-08 12:27:13.932
648,Practical aspects of legislative procedures - Justice as an actor,2008-08-28 09:59:28.987
649,Selected Problems of Administrative Procedure Law,2008-09-03 10:02:04.460
652,Diagnostics and adaptive teaching in vocational education and training,2008-09-04 17:22:51.262
653,Knowledge Management and Development of Competences,2008-09-04 17:25:17.234
654,Extensive teaching-andlearning arrangements and environments,2008-09-04 17:50:40.179
655,Extensive teaching-and-learning arrangements and environments,2008-09-04 17:54:43.290
656,Introductory Course II,2008-09-15 11:59:49.571
657,Basic Concepts and Theories of Pedagogic Thought and Action/ Key Questions of Education and School,2008-09-15 17:27:09.443
658,Tutorials for L-B 1,2008-09-15 17:27:09.493
659,Tutorials for the lecture,2008-09-15 17:27:09.513
660,Tutorials for the lecture,2008-09-15 17:27:09.527
661,"Educational Concepts of Childhood, Youth and Generation Change",2008-09-15 17:27:09.539
662,Approaches to Moral Education I,2008-09-15 17:27:09.554
663,Approaches to Moral Education II,2008-09-15 17:27:09.567
664,Controversies in the Area of Educational and Institutional Theory,2008-09-15 17:27:09.582
665,Concepts of Action and Research in Educational Science I,2008-09-15 17:27:09.595
666,Democracy and Education,2008-09-15 17:27:09.609
667,Introduction to historical studies in education,2008-09-17 12:34:57.147
668,Colloquium: Concepts of childhood,2008-09-17 12:35:27.370
669,Newspaper research as a way of approaching the history of schools in the 20th century,2008-09-17 12:37:46.232
670,Childhood from a pedagogical point of view,2008-09-17 12:38:48.215
671,Tutorial: Conditions of educational practice during the period of National Socialism in \tGermany and during East German Socialism in the GDR,2008-09-17 12:39:34.284
672,Conditions of educational practice during the period of National Socialism in \tGermany and during East German Socialism in the GDR,2008-09-17 12:40:30.691
673,Concepts of Action and Research in Educational Science II,2008-09-17 12:43:08.413
520,Scientific Methods in Rehabilitation Technology,2008-07-01 15:22:50.138
521,Augmentative and Alternative Communication Technologies in Rehabilitation,2008-07-01 15:23:52.283
522,Modul 4: Text and Discourse I,2008-07-22 14:13:44.946
523,Modul 1: Introduction to Linguistics,2008-07-22 14:13:45.130
524,Modul 6: Language Change,2008-07-22 14:13:45.177
525,Modul 5: Historical Linguistics,2008-07-22 14:13:45.331
526,Modul 8: Second Language Acquisition / Compulsory Option Modules,2008-07-22 14:13:45.388
527,Modul 7: Processes in Speech Communication/Compulsory Option Modules,2008-07-22 14:13:45.447
528,B.A. program GERMAN LINGUISTICS,2008-07-22 14:13:45.640
529,B.A. program HISTORICAL LINGUISTICS,2008-07-22 14:13:45.800
530,History of German,2008-07-22 14:13:45.875
531,Modul 2:  Introduction to Historical Linguistics,2008-07-22 14:13:46.165
532,Modul 1: Introduction to General Linguistics,2008-07-22 14:13:46.205
533,Modul 13: Prakticall skills,2008-07-22 14:13:46.270
534,Modul 11: Text and Discourse II,2008-07-22 14:13:46.336
535,Modul 10: German Grammar III,2008-07-22 14:13:46.412
536,Modul 9: Linguistics Variation / Compulsory Option Modules,2008-07-22 14:13:46.492
537,Modul 10: Linguistic data acquisition,2008-07-22 14:13:47.433
538,Modul 9: Theoretical Linguistics: Typology,2008-07-22 14:13:47.773
539,Modul 11: German from the point of view of Second Language Teaching II,2008-07-22 14:13:47.969
540,Modul 7: Speech and language production and perception,2008-07-22 14:13:48.550
