"class_name","class_type","hyperlink","freigabe","belegpflicht","lang","start_date","end_date","max_part","start_time","end_time","week_day","rhythm","parallel","lecturer","room","floor","address","building","facility"
"An Existential Reading of the Torah/Hebrew Bible (HS H 653, MEd E, MRC- V2d,V4b,V4c)",Seminar,,N,,englisch,2022-04-26,,,"18:00","20:00",Dienstag,wöchentlich,wöchentlich,Tsvi Blanchard,Seminarraum 113,"1. OG                    ",Burgstraße 26                                     ,Institutsgebäude,Technische Abteilung (V)
Oral Skills: Part of the Panel,Übung,,N,,englisch,2022-04-19,2022-07-19,,"12:00","14:00",Dienstag,wöchentlich,wöchentlich,Eimear Kelly,Seminarraum (ehem. 0109) 0007,EG                       ,Hausvogteiplatz 5-7                               ,Institutsgebäude,Technische Abteilung (V)
Arithmetische Geometrie (M6) (ÜWP),Vorlesung,,N,,englisch,,,,"13:00","15:00",Dienstag,wöchentlich,wöchentlich,Elmar Große-Klönne,Seminarraum 1304,"1. OG                    ",Rudower Chaussee 26                               ,Erwin Schrödinger-Zentrum /Modul 1,Technische Abteilung (V)
Didaktik der Analysis und der Analytischen Geometrie / Linearen Algebra,Übung,,N,,deutsch,,,,"13:00","15:00",Donnerstag,"14tgl./1","14tgl./1",Christoph Werner,Hörsaal 75 1.115,"1. OG                    ",Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Statistik I,Übung,https://moodle.hu-berlin.de/course/view.php?id=90845#section-2,N,,deutsch,2022-04-19,,,"14:00","16:00",Dienstag,wöchentlich,wöchentlich,,Hörsaal 2 208,"2. OG                    ",Dorotheenstraße 26                                ,Institutsgebäude,Technische Abteilung (V)
"Nordeuropa im Kalten Krieg. Zwischen NATO, Warschauer Pakt und Neutralitätspolitik (1945-1990)",Seminar,,J,,deutsch,,,,"12:00","14:00",Mittwoch,wöchentlich,wöchentlich,Ralph Tuchtenhagen,Seminarraum 3.134,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Analysis II*,Übung,,N,,deutsch,,,,"11:00","13:00",Donnerstag,wöchentlich,wöchentlich,,Seminarraum 30 1.011,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Introduction to Cultural Studies and Theory,Seminar,,N,,englisch,2022-04-19,2022-07-19,,"14:00","16:00",Dienstag,wöchentlich,wöchentlich,Charlotte Alex,Hörsaal 1072,EG                       ,Unter den Linden 6                                ,Universitäts-Hauptgebäude,Technische Abteilung (V)
Liebe und Emanzipation in der isländischen Gegenwartsliteratur,Seminar,,N,,deutsch,,,,"10:00","12:00",Mittwoch,wöchentlich,wöchentlich,Davíð Kristinsson,Seminarraum 3.134,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
The Sonnet in English Literature (Part I),Seminar,https://moodle.hu-berlin.de/enrol/index.php?id=110850,N,,englisch,2022-04-25,2022-07-18,,"10:00","12:00",Montag,wöchentlich,wöchentlich,Stephan Lieske,Seminarraum 1.601,"6. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
Analysis II (ÜWP),Übung,,N,,deutsch,,,,"11:00","13:00",Montag,wöchentlich,wöchentlich,Olaf Müller,Seminarraum 30 3.007,EG                       ,Rudower Chaussee 25                               ,Johann von Neumann-Haus,Technische Abteilung (V)
Översättning av facktext,Übung,,N,,schwedisch,,,,"10:00","12:00",Dienstag,wöchentlich,wöchentlich,Håkan Fink,Besprechungsraum 3.231,"2. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,"Sprach- und literaturwissenschaftliche Fakultät, Nordeuropa-Institut"
Angewandte Mathematik I - Praxisübung,Übung,,N,,deutsch,,,,"09:00","11:00",Dienstag,"14tgl.","14tgl.",Hella Rabus,PC-Pool 2.207,"02                       ",Rudower Chaussee 25                               ,Johann von Neumann-Haus,"Mathematisch-Naturwissenschaftliche Fakultät, Institut für Mathematik"
Oral Skills: Speaking of Education,Übung,,N,,englisch,2022-04-21,2022-07-21,,"10:00","12:00",Donnerstag,wöchentlich,wöchentlich,Audrey Fausser,PC-Pool 3001,"2. OG                    ",Unter den Linden 6                                ,Universitäts-Hauptgebäude,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Anglistik und Amerikanistik"
Einführung in die islamische Ethik,Seminar,,N,,deutsch,2022-04-21,2022-07-21,,"14:00","16:00",Donnerstag,wöchentlich,wöchentlich,Mira Sievers,Seminarraum 1.03,EG                       ,Hannoversche Straße 6                             ,Fritz Strassmann-Haus,Technische Abteilung (V)
Realism (Part I): Realism and the Victorian Novel,Seminar,,N,,englisch,2022-04-19,2022-07-19,,"14:00","16:00",Dienstag,wöchentlich,wöchentlich,Helga Schwalm,Seminarraum 1.601,"6. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V)
"ÜWP Im Team antreten - Fußball, Gesellschaft und Soziale Arbeit",Hauptseminar,,J,,deutsch,2022-04-29,2022-04-29,,"10:00","13:30",Freitag,Einzeltermin,Einzeltermin,N. N.,Seminarraum 1 0.06,EG                       ,Hannoversche Straße 27                            ,Haus 25 / Bürogebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft"
"ÜWP Im Team antreten - Fußball, Gesellschaft und Soziale Arbeit",Hauptseminar,,J,,deutsch,2022-04-29,2022-04-29,,"10:00","13:30",Freitag,Einzeltermin,Einzeltermin,N. N.,Seminarraum 1 0.06,EG                       ,Hannoversche Straße 27                            ,Haus 25 / Bürogebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft"
Bachelorseminare Neuere und Neueste Geschichte,Bachelorseminar,,N,,deutsch,2022-04-20,,,"10:00","12:00",Mittwoch,wöchentlich,wöchentlich,Sarah Matuschak,Seminarraum 0319-22,"3. OG                    ",Hausvogteiplatz 5-7                               ,Institutsgebäude,Technische Abteilung (V)
Problemfelder des Fremdsprachenlehrens und -lernens,Seminar,,N,,deutsch,2022-04-27,2022-07-20,,"10:00","12:00",Mittwoch,wöchentlich,wöchentlich,Franziska Klimczak,Übungsraum 0122-23,"1. OG                    ",Hausvogteiplatz 5-7                               ,Institutsgebäude,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Anglistik und Amerikanistik"
Partielle Differentialgleichungen (Höhere Analysis II),Vorlesung,,N,,englisch,,,,"13:00","15:00",Donnerstag,wöchentlich,wöchentlich,Carsten Carstensen,Hörsaal 0310,EG                       ,Rudower Chaussee 26                               ,Erwin Schrödinger-Zentrum /Modul 1,Technische Abteilung (V)
